name,index_in_978,importance,is_known_marker,rank
HMGA1,255,0.0009092861437238753,False,253
CXCL14,282,0.0009087726357392967,False,254
IGKJ3,886,0.0009071035892702639,False,255
CTSB,570,0.000906654866412282,False,256
PSMD3,411,0.0009060084703378379,False,257
GZMB,287,0.0009054549736902118,False,258
MYL12A,585,0.0009041206212714314,False,259
MZB1,572,0.0009037721320055425,False,260
BST2,394,0.0009036341216415167,False,261
SFRP1,381,0.0009033768437802792,False,262
CCL17,258,0.0009008606430143118,False,263
MCL1,665,0.0008988158660940826,True,264
RPS3AP6,146,0.0008974280790425837,False,265
RPL15,676,0.0008972787763923407,False,266
EIF4A1,433,0.0008960862178355455,False,267
VIM,96,0.000895351346116513,False,268
HSPB1,264,0.0008915080688893795,False,269
G0S2,384,0.0008905046270228922,False,270
C3,782,0.0008901446126401424,False,271
MYL12B,263,0.0008901134133338928,False,272
ANXA5,265,0.0008895400096662343,False,273
CLDN1,559,0.0008894491475075483,False,274
ANXA2,184,0.0008891043835319579,False,275
CRH,248,0.0008879521628841758,False,276
EIF3B,958,0.0008874338818714023,False,277
IGKV2D-28,793,0.0008870988967828453,False,278
PRR13,949,0.0008859516237862408,False,279
C15orf48,944,0.0008858395740389824,False,280
RPL18A,598,0.0008856378844939172,False,281
KLK2,707,0.0008839917136356235,False,282
IFI6,140,0.0008824776741676033,False,283
TMSB10,14,0.0008808962302282453,False,284
ITM2B,633,0.0008795332978479564,False,285
TGM2,277,0.00087915756739676,False,286
WBP5,714,0.0008786437101662159,False,287
S100A16,426,0.0008784879464656115,False,288
TYMS,393,0.000876523379702121,True,289
RPL13AP5,92,0.0008749752305448055,False,290
RPL5,98,0.0008712352137081325,False,291
HMGB2,334,0.0008704064530320466,False,292
ANXA2P2,459,0.0008691060356795788,False,293
TFF3,376,0.000867989263497293,False,294
FGG,826,0.0008665696950629354,False,295
UBA52,634,0.0008646712522022426,False,296
RPL6,357,0.0008634437108412385,False,297
PRG2,450,0.0008620394510217011,False,298
HNRNPA1,972,0.0008614143589511514,False,299
APLP2,314,0.0008607132476754487,False,300
NUPR1,771,0.0008579426794312894,False,301
NOV,317,0.0008578121778555214,False,302
RPS27,310,0.000854514364618808,False,303
H3F3AP4,235,0.000848808791488409,False,304
S100B,200,0.0008481780532747507,False,305
RPLP2,60,0.0008463783306069672,False,306
IGLV4-69,167,0.0008459798409603536,False,307
CTTN,439,0.0008427167776972055,False,308
UBL5,482,0.0008410034351982176,False,309
LYZ,63,0.0008400822407566011,False,310
CDK4,443,0.0008375759935006499,True,311
PABPC4,351,0.0008369769784621894,False,312
RNVU1-9,375,0.000836054387036711,False,313
GAGE2A,851,0.0008351647993549705,False,314
RPL7,230,0.0008345129899680614,False,315
RPL7AP6,221,0.0008335689781233668,False,316
HBG1,173,0.0008335012244060636,False,317
GARS,900,0.0008322923677042127,False,318
FSTL1,566,0.0008316169260069728,False,319
ITGB1,354,0.0008311214623972774,False,320
RPL26,472,0.0008298486354760826,False,321
PPIAP22,257,0.000829581287689507,False,322
S100A7,521,0.0008292931597679853,False,323
CALML5,911,0.0008290614932775497,False,324
KRT20,765,0.0008265972719527781,False,325
PPIB,181,0.000826255651190877,False,326
KRT8,31,0.0008228219230659306,False,327
PEG10,534,0.0008219192968681455,False,328
CHGA,444,0.000821754802018404,False,329
CD59,403,0.000821440655272454,False,330
CTD-2287O16.1,491,0.0008191339438781142,False,331
RPS5,253,0.0008191326051019132,False,332
CCT3,661,0.0008191111846826971,False,333
RPL28,917,0.00081910245353356,False,334
S100A10,278,0.0008176366100087762,False,335
LAPTM5,587,0.0008148612687364221,False,336
CTD-2033D15.1,750,0.0008148567867465317,False,337
TMSB4XP6,698,0.0008132557850331068,False,338
GHITM,906,0.0008131474023684859,False,339
RPLP0,68,0.0008128329063765705,False,340
KRT18,39,0.0008126400643959641,False,341
TOB1,935,0.0008117966935969889,False,342
RPL12,307,0.0008113164221867919,False,343
CD79A,513,0.0008112980285659432,False,344
SCGB1A1,872,0.0008109855116344988,False,345
UCHL1,242,0.0008107477333396673,False,346
RPL37,977,0.0008092839270830154,False,347
DLK1,484,0.0008083005668595433,False,348
PEA15,832,0.0008075775112956762,False,349
TFPI2,134,0.0008072720956988633,False,350
YWHAE,437,0.0008067793096415699,False,351
